Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,age_years,total_kids,total_amt_spent,total_num_purchases,tenure_in_days,education_level,living_status,has_kids,family_size
2447.0,42,1,1,1725,1,1,1,15,0,28,0,1.0,0,0,0,0,0,0,0,43.0,1,1730.0,15.0,3194,0,1,1,3
58607.0,63,867,0,86,0,0,19,3,2,3,9,8.0,0,1,0,0,0,0,0,73.0,1,972.0,17.0,3354,0,1,1,3
65324.0,0,384,0,102,21,32,5,3,6,2,9,4.0,0,0,0,0,0,0,0,68.0,1,544.0,20.0,2676,0,1,1,3
40689.0,69,270,3,27,39,6,99,7,7,1,5,8.0,0,0,0,0,0,0,0,71.0,1,444.0,20.0,3269,0,1,1,3
18589.0,89,6,4,25,15,12,13,2,2,1,3,7.0,0,0,0,0,0,0,0,53.0,0,75.0,8.0,3314,0,0,0,1
53359.0,4,173,4,30,3,6,41,4,5,1,4,7.0,0,0,0,0,0,0,0,46.0,2,257.0,14.0,3199,0,1,1,4
51381.5,19,5,1,3,3,263,362,0,27,0,0,1.0,0,0,0,0,0,0,0,36.0,1,637.0,27.0,3295,0,0,1,2
38360.0,26,36,2,42,20,21,10,2,2,1,4,3.0,0,0,0,0,0,0,0,33.0,1,131.0,9.0,3195,0,1,1,3
84618.0,96,684,100,801,21,66,0,1,6,9,10,2.0,0,0,1,0,0,0,0,57.0,0,1672.0,26.0,3020,0,1,0,2
10979.0,34,8,4,10,2,2,4,2,3,0,3,5.0,0,0,0,0,0,0,0,33.0,0,30.0,8.0,2839,0,0,0,1
38620.0,56,112,17,44,34,22,89,1,2,5,3,3.0,0,0,0,0,0,0,0,59.0,0,318.0,11.0,3037,0,1,0,2
40548.0,31,110,0,5,2,0,3,2,2,1,4,5.0,0,1,0,0,0,0,0,52.0,1,120.0,9.0,3428,0,1,1,3
46610.0,8,96,12,96,33,22,43,6,4,1,6,6.0,0,0,0,0,0,0,1,70.0,2,302.0,17.0,3409,0,0,1,3
68657.0,4,482,34,471,119,68,22,1,3,5,9,7.0,0,0,0,0,0,0,0,76.0,0,1196.0,18.0,3295,0,1,0,2
49389.0,55,40,0,19,2,1,3,1,2,0,3,7.0,0,0,0,0,0,0,0,71.0,2,65.0,6.0,3105,0,0,1,3
67353.0,37,702,17,151,0,8,35,5,5,6,12,2.0,0,0,0,0,0,0,0,52.0,1,913.0,28.0,2981,0,1,1,3
23718.0,76,6,3,14,15,7,36,3,3,1,2,7.0,0,0,0,0,0,0,0,46.0,1,81.0,9.0,3306,1,1,1,3
42429.0,99,55,0,6,2,0,4,2,1,1,3,5.0,0,0,0,0,0,0,0,49.0,1,67.0,7.0,2675,0,0,1,2
48948.0,53,437,8,206,160,49,42,2,7,10,5,6.0,1,0,0,0,0,0,1,79.0,0,902.0,24.0,3344,0,0,0,1
80011.0,3,421,76,536,82,178,102,2,8,6,5,4.0,0,0,0,0,0,0,0,42.0,1,1395.0,21.0,3227,0,1,1,3
20559.0,88,13,1,29,3,0,7,2,2,0,3,8.0,0,0,0,0,0,0,0,37.0,1,53.0,7.0,3009,0,1,1,3
21994.0,4,9,0,6,3,1,3,1,0,0,3,5.0,0,0,0,0,0,0,0,65.0,1,22.0,4.0,3353,0,1,1,3
51381.5,80,81,11,50,3,2,39,1,1,3,4,2.0,0,0,0,0,0,0,0,63.0,0,186.0,9.0,3215,0,0,0,1
7500.0,19,3,1,10,3,2,12,3,2,0,3,5.0,0,0,0,0,0,0,0,47.0,1,31.0,8.0,3305,0,1,1,3
79941.0,72,123,164,266,227,30,174,1,2,4,9,1.0,0,0,0,0,0,0,0,46.0,0,984.0,16.0,2802,0,0,0,1
7500.0,24,3,18,14,15,22,50,3,3,1,3,9.0,0,0,0,0,0,0,1,26.0,0,122.0,10.0,3457,1,1,0,2
41728.0,92,13,6,15,3,5,13,1,2,0,2,10.0,0,0,0,0,0,0,0,54.0,1,55.0,5.0,3202,0,1,1,3
51381.5,96,48,5,48,6,10,7,3,2,1,4,6.0,0,0,0,0,0,0,0,71.0,3,124.0,10.0,2980,0,0,1,4
72550.0,39,826,50,317,50,38,38,9,5,2,12,8.0,0,0,0,0,0,0,0,68.0,2,1319.0,28.0,3488,0,1,1,4
65486.0,29,245,19,125,37,67,14,1,4,2,10,2.0,0,0,0,0,0,0,0,65.0,1,507.0,17.0,2642,0,0,1,2
79143.0,2,650,37,780,27,167,32,1,6,9,13,3.0,0,0,0,0,0,0,0,58.0,0,1693.0,29.0,3399,0,1,0,2
35790.0,54,12,6,20,30,1,3,2,2,0,3,7.0,0,0,0,0,0,0,0,45.0,1,72.0,7.0,3314,0,0,1,2
82582.0,54,510,120,550,156,40,241,1,4,9,7,1.0,1,0,0,1,0,0,1,45.0,0,1617.0,21.0,2794,0,0,0,1
66373.0,57,328,9,124,12,24,109,7,4,2,10,3.0,0,0,0,0,0,0,0,44.0,2,606.0,23.0,3006,0,1,1,4
82384.0,55,984,51,432,180,120,190,1,3,10,13,1.0,0,0,1,0,0,0,1,67.0,0,1957.0,27.0,3388,0,1,0,2
70287.0,30,295,35,482,121,120,40,1,5,5,10,3.0,0,0,0,0,0,0,1,56.0,0,1093.0,21.0,3311,0,0,0,1
27938.0,31,13,0,8,2,1,5,1,1,0,4,3.0,0,0,0,0,0,0,0,34.0,1,29.0,6.0,2863,0,0,1,2
51381.5,57,11,3,22,2,2,6,2,2,0,3,6.0,0,0,0,0,0,0,0,40.0,1,46.0,7.0,3178,0,0,1,2
55954.0,63,447,0,28,0,0,43,3,8,2,6,7.0,0,0,0,0,0,0,0,54.0,1,518.0,19.0,2919,0,1,1,3
75777.0,12,712,26,538,69,13,80,1,3,6,11,1.0,0,1,1,0,0,0,1,40.0,0,1438.0,21.0,3249,0,0,0,1
66653.0,18,452,18,102,16,18,6,4,4,2,12,3.0,0,0,0,0,0,0,0,47.0,2,612.0,22.0,3521,0,1,1,4
61823.0,26,523,7,134,37,14,169,4,8,2,10,7.0,0,0,0,0,0,0,0,70.0,1,884.0,24.0,3297,0,0,1,2
67680.0,8,546,0,48,0,6,6,1,7,3,8,5.0,0,0,0,0,0,0,0,71.0,1,606.0,19.0,3036,0,0,1,2
70666.0,29,398,40,367,119,122,30,1,7,4,4,4.0,0,0,0,0,0,0,0,74.0,0,1076.0,16.0,3183,0,1,0,2
25721.0,75,1,3,6,3,6,15,1,1,1,2,7.0,0,0,0,0,0,0,1,51.0,1,34.0,5.0,3205,0,1,1,3
32474.0,0,10,0,1,0,0,0,1,1,0,2,7.0,0,0,0,0,0,0,0,55.0,2,11.0,4.0,2672,0,1,1,4
88194.0,19,688,14,309,201,24,38,1,11,10,10,5.0,1,0,0,1,0,0,1,43.0,1,1274.0,32.0,2903,1,0,1,2
69096.0,4,247,49,159,7,82,109,1,5,2,10,4.0,0,0,0,0,0,0,0,64.0,1,653.0,18.0,3076,0,1,1,3
74854.0,90,856,59,487,58,29,73,7,2,5,5,5.0,0,0,0,0,0,0,0,52.0,3,1562.0,19.0,3130,0,1,1,5
66991.0,1,496,36,460,189,60,12,3,4,8,6,3.0,0,0,0,0,0,0,0,68.0,0,1253.0,21.0,3398,0,1,0,2
51381.5,25,25,3,43,17,4,17,3,3,0,3,8.0,0,0,0,0,0,0,0,49.0,1,109.0,9.0,3454,1,1,1,3
65031.0,29,258,107,291,84,37,86,4,10,3,13,7.0,0,0,0,0,0,0,0,63.0,1,863.0,30.0,3270,0,1,1,3
60631.0,88,565,6,65,0,6,19,5,9,2,8,7.0,0,1,0,0,0,0,0,47.0,2,661.0,24.0,3222,0,1,1,4
28332.0,58,14,10,13,4,15,9,1,2,1,4,2.0,0,0,0,0,0,0,0,70.0,0,65.0,8.0,2861,0,1,0,2
40246.0,68,2,1,6,2,1,1,1,1,0,2,6.0,0,0,0,0,0,0,0,45.0,1,13.0,4.0,3358,0,0,1,2
75251.0,34,721,111,925,97,18,18,1,7,6,5,5.0,0,0,0,0,0,0,1,50.0,0,1890.0,19.0,3472,0,1,0,2
75825.0,40,1032,105,779,137,105,51,0,5,8,9,4.0,1,0,0,0,0,0,1,46.0,0,2209.0,22.0,3367,0,0,0,1
26326.0,12,1,0,5,0,3,9,1,0,0,3,3.0,0,0,0,0,0,1,0,46.0,0,18.0,4.0,3247,1,1,0,2
56046.0,9,577,0,64,0,0,51,2,10,1,8,8.0,1,0,0,0,0,0,1,57.0,0,692.0,21.0,3314,0,1,0,2
29760.0,87,64,4,68,7,5,17,4,3,1,4,8.0,0,0,0,0,0,0,0,37.0,1,165.0,12.0,3470,0,0,1,2
26304.0,5,4,1,5,2,0,4,1,1,0,2,7.0,0,0,0,0,0,0,0,53.0,1,16.0,4.0,3172,0,1,1,3
23559.0,87,25,5,19,7,0,23,3,3,0,3,7.0,0,0,0,0,0,0,0,49.0,1,79.0,9.0,3280,1,1,1,3
38620.0,56,112,17,44,34,22,89,1,2,5,3,3.0,0,0,0,0,0,0,0,59.0,0,318.0,11.0,3037,0,1,0,2
81361.0,18,163,23,424,27,65,76,1,3,10,13,1.0,0,0,0,0,0,0,0,35.0,0,778.0,27.0,2925,0,0,0,1
29440.0,95,17,8,14,10,4,3,2,1,0,4,7.0,0,0,0,0,0,0,0,62.0,2,56.0,7.0,3034,0,1,1,4
36138.0,48,130,0,16,0,0,5,5,3,1,4,7.0,0,1,0,0,0,0,0,52.0,2,151.0,13.0,3149,0,1,1,4
50388.0,3,292,6,37,0,3,34,4,6,1,6,7.0,0,1,0,1,0,0,1,65.0,1,372.0,17.0,2833,0,0,1,2
79593.0,70,350,60,568,110,133,145,1,5,6,7,2.0,0,0,1,0,0,0,0,49.0,0,1366.0,19.0,2642,0,1,0,2
54178.0,79,135,9,39,4,0,7,1,2,2,5,2.0,0,0,0,0,0,0,0,55.0,1,194.0,10.0,2960,0,1,1,3
51381.5,4,230,42,192,49,37,53,12,7,2,8,9.0,0,0,0,0,0,0,0,65.0,3,603.0,29.0,3388,0,1,1,5
51381.5,45,7,0,8,2,0,1,1,1,0,2,7.0,0,0,0,0,0,0,0,65.0,2,18.0,4.0,2834,0,0,1,3
51381.5,87,445,37,359,98,28,18,1,2,4,8,1.0,0,0,0,0,0,0,0,49.0,0,985.0,15.0,3019,0,1,0,2
42394.0,69,15,2,10,0,1,4,1,1,0,3,7.0,0,0,0,0,0,0,0,50.0,1,32.0,5.0,2899,0,0,1,2
23626.0,84,27,2,14,0,0,0,3,3,1,3,5.0,0,0,0,0,0,0,0,52.0,1,43.0,10.0,2837,0,1,1,3
30096.0,30,5,3,11,12,5,9,1,2,0,3,6.0,0,0,0,0,0,0,0,39.0,1,45.0,6.0,2839,0,1,1,3
47916.0,72,505,0,26,0,0,75,5,7,4,6,6.0,0,1,0,0,0,0,0,62.0,1,606.0,22.0,3385,0,0,1,2
51813.0,37,51,2,7,0,1,2,2,2,0,3,7.0,0,0,0,0,0,0,0,50.0,2,63.0,7.0,3038,0,0,1,3
78497.0,44,207,26,447,75,0,223,1,5,7,12,2.0,0,0,0,1,0,0,0,71.0,0,978.0,25.0,3334,1,1,0,2
50150.0,32,135,46,92,65,61,11,2,5,2,7,5.0,0,0,0,0,0,0,0,39.0,0,410.0,16.0,3175,0,1,0,2
47823.0,0,53,1,5,2,1,10,2,2,0,3,8.0,0,0,0,0,0,0,0,62.0,1,72.0,7.0,3142,1,0,1,2
34554.0,43,41,1,6,2,0,5,2,2,0,3,6.0,0,0,0,0,0,0,0,63.0,1,55.0,7.0,2892,0,0,1,2
85693.0,59,386,172,183,185,132,111,2,9,5,11,5.0,0,0,0,0,0,0,0,43.0,1,1169.0,27.0,3236,0,1,1,3
65846.0,68,562,81,276,80,40,81,1,6,3,6,4.0,0,0,0,0,0,0,0,77.0,0,1120.0,16.0,3209,0,1,0,2
87195.0,35,217,76,690,50,26,38,1,3,11,5,1.0,0,0,0,0,0,0,1,63.0,0,1097.0,20.0,2764,0,1,0,2
24594.0,94,1,3,6,10,0,9,1,1,0,3,5.0,0,0,0,0,0,0,0,43.0,1,29.0,5.0,3061,1,1,1,3
49096.0,15,144,1,32,2,1,7,4,4,1,4,7.0,0,0,0,0,0,0,0,58.0,2,187.0,13.0,3079,0,1,1,4
52413.0,56,295,106,271,75,98,65,4,6,4,12,6.0,0,0,0,0,0,0,0,53.0,2,910.0,26.0,3313,0,1,1,4
38557.0,17,76,3,31,4,4,27,2,3,1,3,7.0,0,0,0,0,0,0,0,44.0,1,145.0,9.0,3358,0,0,1,2
89058.0,18,454,194,106,31,22,43,1,5,4,4,2.0,0,0,0,0,0,0,0,62.0,0,850.0,14.0,3518,0,1,0,2
77298.0,46,425,115,292,23,35,79,1,6,6,11,3.0,0,0,0,0,0,0,0,43.0,1,969.0,24.0,3304,0,1,1,3
68126.0,40,1332,17,311,23,51,86,1,7,4,5,9.0,0,1,0,0,0,0,1,31.0,0,1820.0,17.0,3427,0,0,0,1
57288.0,27,527,0,21,0,0,60,3,8,1,8,6.0,0,1,0,0,0,0,0,59.0,1,608.0,20.0,2805,0,1,1,3
86037.0,95,490,44,125,29,20,22,1,6,7,11,3.0,0,1,1,0,0,0,1,31.0,0,730.0,25.0,3314,0,0,0,1
43974.0,19,378,0,101,0,0,72,5,6,4,6,7.0,0,0,0,0,0,0,0,42.0,1,551.0,21.0,3365,0,1,1,3
50785.0,27,64,1,21,0,1,27,2,2,1,3,6.0,0,0,0,0,0,0,0,60.0,2,114.0,8.0,3064,0,0,1,3
90765.0,25,547,99,812,151,82,33,0,4,6,5,1.0,0,0,1,1,0,0,0,52.0,0,1724.0,15.0,2957,0,1,0,2
36550.0,74,47,90,94,123,103,120,5,9,1,5,9.0,0,0,0,0,0,0,0,44.0,1,577.0,20.0,3296,1,1,1,3
30753.0,85,12,5,25,0,9,30,2,1,1,3,5.0,0,0,0,0,0,0,0,55.0,2,81.0,7.0,3035,1,1,1,4
21918.0,37,1,6,7,11,5,3,2,2,0,3,6.0,0,0,0,0,0,0,0,53.0,1,33.0,7.0,3028,0,1,1,3
56129.0,65,320,48,133,39,72,48,4,6,2,10,4.0,0,0,0,0,0,0,0,69.0,1,660.0,22.0,3175,0,1,1,3
32557.0,13,34,3,29,0,4,10,3,2,1,3,5.0,0,0,0,0,0,0,1,55.0,1,80.0,9.0,2926,0,0,1,2
19510.0,63,9,0,7,3,4,7,2,1,0,3,7.0,0,0,0,0,0,0,0,37.0,2,30.0,6.0,3247,0,1,1,4
30992.0,83,17,0,14,7,3,2,1,1,0,3,7.0,0,0,0,0,0,0,0,46.0,1,43.0,5.0,3234,0,0,1,2
101970.0,69,722,27,102,44,72,168,0,6,8,13,2.0,0,1,1,1,0,0,1,39.0,0,1135.0,27.0,3009,0,0,0,1
71488.0,87,162,33,124,40,28,172,2,3,4,7,1.0,0,0,0,0,0,0,0,57.0,0,559.0,16.0,3297,1,1,0,2
79607.0,37,450,133,951,173,0,216,1,3,6,6,1.0,0,0,0,0,0,0,1,38.0,0,1923.0,16.0,3235,0,0,0,1
54348.0,51,70,0,16,0,0,4,2,2,0,4,6.0,0,0,0,0,0,0,0,69.0,2,90.0,8.0,2763,0,1,1,4
51381.5,23,352,0,27,10,0,15,3,6,1,7,6.0,0,0,0,0,0,0,0,61.0,1,404.0,17.0,3035,0,1,1,3
77376.0,72,492,19,110,16,12,12,4,6,3,10,4.0,0,0,0,0,0,0,0,66.0,2,661.0,23.0,2703,0,1,1,4
62998.0,10,120,58,73,65,89,58,5,5,4,5,5.0,0,0,0,0,0,0,0,70.0,1,463.0,19.0,3073,0,1,1,3
61331.0,42,534,5,47,0,5,41,5,11,1,6,8.0,0,0,0,0,0,0,0,64.0,2,632.0,23.0,3070,0,0,1,3
73448.0,10,236,106,189,23,41,130,1,7,2,9,4.0,0,0,0,0,0,0,0,53.0,0,725.0,19.0,2706,0,1,0,2
51381.5,96,231,65,196,38,71,124,1,6,5,7,4.0,0,0,0,0,0,0,0,59.0,1,725.0,19.0,3034,0,1,1,3
41551.0,51,220,0,33,3,0,23,5,5,1,5,8.0,0,0,0,0,0,0,0,58.0,2,279.0,16.0,3120,0,1,1,4
62981.0,21,796,14,590,38,44,0,1,4,5,13,3.0,0,1,0,0,0,0,0,55.0,0,1482.0,23.0,3270,0,1,0,2
9548.0,31,0,1,3,10,6,9,2,1,0,3,8.0,0,0,0,0,0,0,0,46.0,1,29.0,6.0,3491,1,0,1,2
33762.0,61,53,1,34,2,0,16,3,2,2,2,8.0,0,0,0,0,0,0,0,63.0,3,106.0,9.0,3158,0,1,1,5
35860.0,37,15,0,8,4,2,20,2,1,1,2,5.0,1,0,0,0,0,0,1,49.0,2,49.0,6.0,2842,0,0,1,3
36921.0,74,17,1,12,3,1,4,2,2,0,3,7.0,0,0,0,0,0,0,0,57.0,2,38.0,7.0,3137,0,0,1,3
92859.0,46,962,61,921,52,61,20,1,5,4,12,2.0,0,0,0,0,0,0,0,30.0,0,2077.0,22.0,3419,0,0,0,1
65104.0,4,738,0,232,13,20,50,2,3,5,7,7.0,0,0,0,0,0,0,1,46.0,1,1053.0,17.0,3028,0,1,1,3
86111.0,73,399,28,756,36,40,126,1,5,7,10,2.0,0,0,0,0,0,0,0,60.0,0,1385.0,23.0,3237,0,1,0,2
68352.0,47,614,16,132,43,33,33,3,8,5,9,6.0,0,0,0,0,0,0,0,48.0,1,871.0,25.0,3106,0,0,1,2
41883.0,13,32,34,41,73,16,116,3,4,2,3,7.0,0,0,0,0,0,0,0,34.0,1,312.0,12.0,3268,0,1,1,3
59809.0,36,598,16,141,32,41,49,3,3,3,6,8.0,0,0,0,0,0,0,0,46.0,2,877.0,15.0,3420,0,1,1,4
23957.0,47,2,1,18,20,11,16,1,2,0,3,6.0,0,0,0,0,0,0,1,47.0,1,68.0,6.0,3410,0,1,1,3
38547.0,49,6,1,10,0,1,4,1,1,0,2,8.0,0,0,0,0,0,1,0,41.0,1,22.0,4.0,3106,0,1,1,3
35688.0,94,73,3,90,12,1,32,7,4,1,4,8.0,0,0,0,0,0,0,0,49.0,3,211.0,16.0,3477,1,1,1,5
49605.0,65,42,16,29,12,20,8,1,2,1,4,3.0,0,0,0,0,0,0,0,56.0,0,127.0,8.0,2809,0,1,0,2
59354.0,59,295,21,78,39,13,13,1,4,4,7,3.0,0,0,0,0,0,0,0,69.0,2,459.0,16.0,2867,0,1,1,4
65747.0,96,346,17,48,23,13,13,4,8,1,6,6.0,0,1,0,0,0,0,0,53.0,1,460.0,19.0,2797,0,1,1,3
46344.0,28,233,20,57,8,20,91,4,7,1,5,7.0,0,0,0,0,0,0,0,50.0,1,429.0,17.0,3363,1,1,1,3
34176.0,12,5,7,24,19,14,20,4,3,0,4,6.0,0,0,0,0,0,0,0,34.0,1,89.0,11.0,2642,0,0,1,2
61010.0,57,888,0,57,0,0,76,2,8,5,11,5.0,0,0,0,0,0,0,0,70.0,1,1021.0,26.0,3458,0,1,1,3
69372.0,10,997,26,269,34,13,42,1,10,4,6,4.0,0,1,1,0,0,0,1,73.0,0,1381.0,21.0,3296,0,1,0,2
49967.0,4,212,6,69,4,12,3,3,6,1,5,7.0,0,0,0,0,0,0,0,64.0,1,306.0,15.0,3127,0,0,1,2
60199.0,49,8,1,7,2,0,0,1,0,0,3,4.0,0,0,0,0,0,0,0,44.0,3,18.0,4.0,3003,0,0,1,4
55375.0,3,42,11,57,10,28,14,1,1,1,6,2.0,0,0,0,0,0,0,0,45.0,1,162.0,9.0,3056,0,1,1,3
80317.0,64,536,11,387,149,91,57,1,3,4,10,1.0,0,0,0,0,0,0,0,67.0,0,1231.0,18.0,3114,0,0,0,1
30523.0,0,5,0,3,0,0,5,1,1,0,2,7.0,0,0,0,0,0,0,0,64.0,3,13.0,4.0,3339,0,0,1,4
70356.0,20,1349,16,249,43,16,33,2,10,6,9,6.0,0,0,0,0,0,0,0,77.0,0,1706.0,27.0,3580,0,1,0,2
23228.0,91,53,3,49,7,4,5,4,3,0,4,8.0,0,0,0,0,0,0,0,38.0,1,121.0,11.0,2860,0,1,1,3
74165.0,9,1001,12,240,16,12,12,1,5,4,10,2.0,0,0,0,0,0,0,0,47.0,0,1293.0,20.0,3341,0,0,0,1
51381.5,98,20,2,1582,1,2,1,15,0,22,0,0.0,0,0,0,0,0,0,0,49.0,1,1608.0,37.0,2978,0,1,1,3
43482.0,83,18,1,32,6,3,28,3,2,0,4,6.0,0,0,0,0,0,0,0,56.0,3,88.0,9.0,3029,0,1,1,5
62551.0,27,125,16,98,134,21,27,1,6,7,4,3.0,1,0,0,0,0,0,0,69.0,0,421.0,18.0,3024,0,0,0,1
52332.0,63,212,5,33,7,0,2,1,3,2,6,4.0,0,1,0,0,0,0,0,63.0,0,259.0,12.0,3106,0,0,0,1
66951.0,46,277,162,305,173,76,124,1,3,4,7,1.0,0,0,0,0,0,0,0,34.0,0,1117.0,15.0,3304,0,0,0,1
26091.0,84,15,10,19,8,17,20,3,2,1,3,5.0,0,0,0,0,0,0,0,65.0,2,89.0,9.0,2925,0,1,1,4
33456.0,58,7,3,10,8,1,7,2,1,0,3,7.0,0,0,0,0,0,0,0,57.0,2,36.0,6.0,2870,0,1,1,4
28718.0,78,12,4,6,11,8,16,2,2,0,3,8.0,0,0,0,0,0,0,0,40.0,1,57.0,7.0,3152,0,1,1,3
50447.0,4,85,7,24,2,3,27,1,3,1,3,6.0,0,0,0,0,0,0,0,52.0,2,148.0,8.0,2870,0,1,1,4
53537.0,17,81,0,6,0,0,6,2,2,1,3,5.0,0,0,0,0,0,0,0,63.0,2,93.0,8.0,2951,0,1,1,4
52074.0,77,59,0,12,0,0,48,1,2,2,2,4.0,1,0,0,0,0,0,0,55.0,1,119.0,7.0,2887,0,0,1,2
80427.0,56,1149,71,449,69,71,26,1,11,8,8,5.0,0,0,0,0,0,0,0,47.0,1,1835.0,28.0,3368,0,1,1,3
83837.0,79,847,66,119,86,89,111,1,9,10,5,4.0,0,1,0,1,0,0,1,74.0,0,1318.0,25.0,3361,0,1,0,2
38853.0,90,29,0,14,0,0,2,2,2,0,3,7.0,0,0,0,0,0,0,0,52.0,2,45.0,7.0,2838,0,1,1,4
38285.0,96,2,0,5,2,0,1,1,0,0,3,2.0,0,0,0,0,0,0,0,63.0,3,10.0,4.0,2806,0,1,1,5
78497.0,44,207,26,447,75,0,223,1,5,7,12,2.0,0,0,0,1,0,0,0,71.0,0,978.0,25.0,3334,1,1,0,2
51650.0,81,152,3,22,2,5,7,1,4,1,4,5.0,0,0,0,0,0,0,0,46.0,1,191.0,10.0,2672,0,1,1,3
16248.0,77,12,11,10,3,12,9,3,2,1,3,6.0,0,0,0,0,0,0,0,34.0,1,57.0,9.0,2703,1,1,1,3
66835.0,21,620,26,195,34,17,141,1,6,4,13,2.0,0,0,0,0,0,0,0,76.0,0,1033.0,24.0,3075,0,1,0,2
30477.0,16,47,1,6,0,0,12,1,1,1,3,6.0,0,0,0,0,0,0,0,38.0,1,66.0,6.0,2959,0,1,1,3
28249.0,80,1,9,7,2,14,10,1,2,0,3,6.0,0,0,0,0,0,0,0,61.0,0,43.0,6.0,2815,1,1,0,2
25271.0,45,10,1,18,10,4,7,1,1,1,2,9.0,0,0,0,0,0,0,0,39.0,1,50.0,5.0,3579,0,1,1,3
32303.0,63,35,0,2,0,0,2,2,1,0,4,5.0,0,0,0,0,0,0,0,52.0,1,39.0,7.0,2766,0,0,1,2
61286.0,34,356,0,107,19,9,117,2,7,1,8,5.0,0,0,0,0,0,0,0,56.0,1,608.0,18.0,3307,0,1,1,3
74068.0,14,783,30,537,140,76,15,1,4,10,9,2.0,0,0,0,0,0,0,0,46.0,0,1581.0,24.0,3268,0,1,0,2
45759.0,13,42,1,18,3,0,4,2,2,0,3,7.0,0,0,0,0,0,0,0,58.0,2,68.0,7.0,3292,0,1,1,4
24882.0,52,1,4,10,29,0,36,1,1,1,2,6.0,1,0,0,0,0,0,0,44.0,1,80.0,5.0,3459,1,1,1,3
66973.0,98,466,22,432,147,113,102,1,8,7,12,3.0,0,0,0,0,0,0,0,33.0,0,1282.0,28.0,3209,0,1,0,2
36640.0,99,15,6,8,7,4,25,1,2,1,2,5.0,0,0,0,0,0,1,0,52.0,1,65.0,6.0,3077,1,0,1,2
